field_1,lat,lng,label,predictions,ids,CLUSTER_ID
182,45.023371,7.669023,2,"13 : 0.36241624, 13 : 0.056984223, 7 : 0.038433786",50187932471,
183,45.023371,7.669023,2,"6 : 0.5965338, 6 : 0.062341817, 6 : 0.042080246",50188195692,
184,45.023371,7.669023,2,"7 : 0.39860415, 7 : 0.113675006, 7 : 0.05032264",50187938696,
185,45.023371,7.669023,2,"13 : 0.4069626, 7 : 0.07291877, 7 : 0.049568854",50187385963,
186,45.023371,7.669023,2,"7 : 0.090524785, 13 : 0.07242556, 7 : 0.06694514",50187393298,
187,45.023371,7.669023,2,"13 : 0.33021843, 13 : 0.036977947, 13 : 0.024702575",50188186977,
188,45.023371,7.669023,2,"7 : 0.15903354, 9 : 0.091923736, 7 : 0.089832745",50187931686,
189,45.023371,7.669023,2,"2 : 0.3125469, 13 : 0.27042812, 13 : 0.16189443",50188187217,
190,45.023371,7.669023,2,"9 : 0.21614374, 12 : 0.16788322, 12 : 0.11571962",50187397528,
191,45.023371,7.669023,2,"13 : 0.145028, 7 : 0.08656586, 13 : 0.072007485",50188183307,
192,45.023371,7.669023,2,"13 : 0.16424929, 13 : 0.08765273, 13 : 0.025683172",50187931496,
193,45.023371,7.669023,2,"13 : 0.080257624, 13 : 0.0692389, 13 : 0.061834324",50188188592,
194,45.023371,7.669023,2,"9 : 0.54247785, 7 : 0.13222231",50187391738,
195,45.023371,7.669023,2,"13 : 0.10239151, 7 : 0.0472795, 13 : 0.04500565",50187935976,
196,45.023371,7.669023,2,"13 : 0.06284379, 6 : 0.05014345, 6 : 0.029393274",50187936116,
197,45.023371,7.669023,2,"7 : 0.18058173, 7 : 0.061539765",50187390418,
198,45.023371,7.669023,2,"13 : 0.099036716, 8 : 0.058315482, 7 : 0.029449593",50187388453,
199,45.023371,7.669023,2,"2 : 0.840897, 12 : 0.019618923, 2 : 0.018882878",50188185647,
200,45.023371,7.669023,2,"13 : 0.24543227, 13 : 0.14986244, 13 : 0.06429317",50187933236,
201,45.023371,7.669023,2,"13 : 0.09561302, 13 : 0.06583458, 7 : 0.063323155",50187933436,
202,45.023371,7.669023,2,"9 : 0.13811597, 7 : 0.10291553, 13 : 0.055588007",50188192267,
203,45.023371,7.669023,2,"6 : 0.11309992, 13 : 0.0743932, 13 : 0.04897983",50187392443,
204,45.023371,7.669023,2,"9 : 0.05309151, 13 : 0.051090825, 2 : 0.043207675",50187396603,
205,45.023371,7.669023,2,"13 : 0.07787161, 8 : 0.04867941, 13 : 0.046830475",50187928461,
206,45.023371,7.669023,2,"13 : 0.07638791, 13 : 0.054307986, 2 : 0.04210818",50188190062,
