id,predictions,CLUSTER_ID
1.52594140202216E+018,"1 : 0.43994722, 11 : 0.053288497, 13 : 0.043758865",17
1.52496749144343E+018,"11 : 0.734373, 1 : 0.041137096, 1 : 0.03754824",17
1.52253099868398E+018,"1 : 0.39146328, 1 : 0.25523314, 11 : 0.10663571",17
1.52100174555545E+018,"5 : 0.09126675, 10 : 0.082269624, 4 : 0.023964498",17
1.52026398113758E+018,"1 : 0.5649414, 2 : 0.04174933, 6 : 0.036558364",17
1.51731172657591E+018,"9 : 0.4028396, 6 : 0.27337933, 6 : 0.054263648",17
1.51385026254436E+018,"6 : 0.8211461, 6 : 0.02724438, 6 : 0.026204575",17
1.51254198397189E+018,"6 : 0.3213492, 6 : 0.28151187, 6 : 0.16153061",17
1.51012922976404E+018,"2 : 0.24868524, 2 : 0.12615669, 6 : 0.08425551",17
1.50505257046053E+018,"1 : 0.59863025, 1 : 0.14103402, 11 : 0.05100938",17
1.50500507849894E+018,"11 : 0.30460307, 1 : 0.24505861, 1 : 0.18690091",17
1.50310272186335E+018,"11 : 0.32215932, 1 : 0.24823077, 1 : 0.18751366",17
1.50282994448784E+018,"11 : 0.84871954, 1 : 0.03181867, 1 : 0.031607836",17
1.49862008135709E+018,"2 : 0.2485888, 3 : 0.0588229, 2 : 0.04993711",17
1.49515971445413E+018,"1 : 0.43129316, 11 : 0.27140865, 1 : 0.08587278",17
1.49285284140002E+018,"1 : 0.35797802, 11 : 0.25998366, 1 : 0.054852203",17
1.48986585976126E+018,"5 : 0.26124895, 7 : 0.13300978, 13 : 0.08865213",17
1.48848974735703E+018,"2 : 0.77532715, 2 : 0.22237827, 7 : 8.986955e-05",17
1.4861959935894E+018,"3 : 0.305152, 3 : 0.08408094, 4 : 0.022125743",17
1.48575750980932E+018,"4 : 0.3883314, 7 : 0.26637474, 13 : 0.096970655",17
1.48490775884296E+018,"6 : 0.5075881, 6 : 0.07261817, 6 : 0.07147658",17
1.4847096589709E+018,"9 : 0.43669987, 9 : 0.09720813, 11 : 0.095848344",17
1.48425867133223E+018,"1 : 0.22802204, 9 : 0.089333594, 8 : 0.06380464",17
1.48415254063533E+018,"7 : 0.5012715, 7 : 0.08272364, 7 : 0.06590541",17
1.48350766475854E+018,"1 : 0.4882373, 11 : 0.22123767, 1 : 0.053582452",17
1.48204028628042E+018,"6 : 0.7748912, 6 : 0.027902655, 6 : 0.014521757",17
1.48109238478279E+018,"6 : 0.30689707, 6 : 0.051417578, 6 : 0.03082615",17
1.48103749491644E+018,"11 : 0.42397127, 1 : 0.33427, 1 : 0.14421237",17
1.48102516498898E+018,"11 : 0.68574613, 9 : 0.20114788, 1 : 0.029755441",17
1.48072178452847E+018,"4 : 0.70265824, 9 : 0.016067373, 1 : 0.014401725",17
1.48070226874326E+018,"1 : 0.5051378, 1 : 0.20277089, 11 : 0.07718612",17
1.48049887862916E+018,"11 : 0.47793767, 1 : 0.13444792, 1 : 0.034572113",17
1.47849835606081E+018,"7 : 0.91819096, 13 : 0.0061859903, 7 : 0.0056580026",17
1.47840786925455E+018,"1 : 0.43441567, 1 : 0.30867824, 11 : 0.1188526",17
1.47701623275894E+018,"1 : 0.5771058, 1 : 0.09068328, 11 : 0.01320546",17
1.47491446436407E+018,"11 : 0.36245805, 1 : 0.17991757, 1 : 0.13737664",17
1.47455237472316E+018,"1 : 0.92481405, 1 : 0.020809447, 11 : 0.015360762",17
1.47454944673689E+018,"1 : 0.40963817, 11 : 0.089423425, 1 : 0.07663098",17
1.47424782931241E+018,"7 : 0.5967189, 2 : 0.07291917, 7 : 0.02566696",17
1.47409352295697E+018,"6 : 0.49283502, 6 : 0.030403003, 6 : 0.021302639",17
1.47403455195718E+018,"8 : 0.3757235, 13 : 0.3340537, 4 : 0.030707493",17
1.47349558885001E+018,"6 : 0.440078, 6 : 0.065871276, 6 : 0.023931509",17
1.47342400026836E+018,"1 : 0.593184, 11 : 0.09581167, 11 : 0.03501672",17
1.47263293404108E+018,"6 : 0.3616568, 6 : 0.19248468, 6 : 0.06876835",17
1.4716767182677E+018,"1 : 0.7961206, 11 : 0.018125013, 1 : 0.017918753",17
1.46958538067253E+018,"9 : 0.18497412, 5 : 0.14318079, 7 : 0.081701666",17
1.46919559232331E+018,"7 : 0.19750997, 2 : 0.17571366, 2 : 0.0705972",17
1.46839878504166E+018,"11 : 0.50580317, 1 : 0.08387319, 1 : 0.052981988",17
1.46749878184201E+018,"11 : 0.14992031, 13 : 0.13815455, 1 : 0.093292095",17
1.46724905544032E+018,"3 : 0.26024204, 4 : 0.08592735, 4 : 0.07108406",17
1.46684906236734E+018,"2 : 0.8543426, 2 : 0.090993434, 2 : 0.009846692",17
1.4655220181699E+018,"1 : 0.20950712, 1 : 0.1720488, 9 : 0.13633649",17
1.46442324443025E+018,"1 : 0.59401786, 11 : 0.2417729, 1 : 0.08130613",17
1.46079867971083E+018,"1 : 0.32457706, 11 : 0.25954244, 1 : 0.1251118",17
1.45928558186694E+018,"1 : 0.5887083, 1 : 0.0842718, 1 : 0.07437376",17
1.45889663914107E+018,"6 : 0.22240496, 6 : 0.18673195, 5 : 0.07517096",17
1.458877116367E+018,"1 : 0.94414294, 1 : 0.021083659, 11 : 0.0026863648",17
1.45869239860697E+018,"11 : 0.40736458, 1 : 0.40035656, 1 : 0.08194161",17
1.45861879797628E+018,"4 : 0.3367077, 7 : 0.10845362, 2 : 0.05810413",17
1.45738197086656E+018,"4 : 0.59055746, 5 : 0.2313223, 4 : 0.008706566",17
1.45531405026296E+018,"1 : 0.75014466, 1 : 0.020643925, 11 : 0.01149681",17
1.45445842647393E+018,"1 : 0.2867529, 1 : 0.2587014, 3 : 0.06887966",17
1.45247531602277E+018,"1 : 0.21111774, 13 : 0.065359734, 11 : 0.057874624",17
1.44855154082138E+018,"1 : 0.2681149, 1 : 0.10868231, 1 : 0.102315724",17
1.44796080767388E+018,"1 : 0.7984194, 1 : 0.052165616, 11 : 0.042265598",17
1.44785052924619E+018,"2 : 0.968491, 8 : 0.0015153742, 8 : 0.0010546449",17
1.44699777866348E+018,"2 : 0.09399194, 12 : 0.07017799, 9 : 0.06808497",17
1.43613610047715E+018,"6 : 0.601373, 6 : 0.32774913, 6 : 0.0041705",17
1.43495386050631E+018,"1 : 0.8649775, 1 : 0.033334415, 11 : 0.024927367",17
1.42531544863895E+018,"9 : 0.3760863, 9 : 0.20687686, 12 : 0.11630867",17
1.42248821252991E+018,"8 : 0.9213493, 8 : 0.003797086, 8 : 0.0024580972",17
2.20903771088149E+018,"3 : 0.17576674, 12 : 0.08762306, 7 : 0.047863636",17
2.20874567211561E+018,"7 : 0.93007326, 2 : 0.026399136, 13 : 0.008690833",17
2.20810452348161E+018,"3 : 0.3756629, 2 : 0.054354846, 2 : 0.028977295",17
2.20755140296523E+018,"7 : 0.8737529, 7 : 0.032863937, 7 : 0.02468239",17
2.20463942595109E+018,"1 : 0.26663175, 5 : 0.06117792, 5 : 0.044610467",17
2.20301535450569E+018,"7 : 0.5004068, 7 : 0.14029491, 7 : 0.035971474",17
2.20300607673874E+018,"7 : 0.80652493, 7 : 0.017832628, 7 : 0.00726397",17
2.19952253214764E+018,"11 : 0.25878537, 7 : 0.21323352, 2 : 0.10273714",17
2.19937892735598E+018,"6 : 0.044231832, 12 : 0.03544359, 5 : 0.032643158",17
2.19741110678031E+018,"7 : 0.6506802, 3 : 0.19197877, 7 : 0.014468069",17
2.1943906673552E+018,"2 : 0.19958255, 2 : 0.12134959, 2 : 0.06884369",17
2.19290163682181E+018,"3 : 0.071582206, 11 : 0.06791543, 2 : 0.06688839",17
2.19212462136144E+018,"1 : 0.43880782, 1 : 0.16067348, 11 : 0.03332394",17
2.19105992747379E+018,"3 : 0.7805889, 2 : 0.07419828, 12 : 0.02432231",17
2.18943332818941E+018,"7 : 0.18620563, 7 : 0.09523976, 7 : 0.041641373",17
2.18928707255739E+018,"3 : 0.76087135, 3 : 0.0134887155, 13 : 0.012363937",17
2.18871824043634E+018,"2 : 0.05928625, 2 : 0.03829517, 7 : 0.036480278",17
2.18858492470814E+018,"12 : 0.07899854, 2 : 0.045319665, 12 : 0.042808067",17
