field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"11033",45.062722,7.6789,"1","1","14","6064","4","522"
"11034",45.062722,7.6789,"1","1","14","6064","4","522"
"11035",45.062722,7.6789,"1","1","14","6064","4","522"
"11036",45.062722,7.6789,"1","1","14","6064","4","522"
"11037",45.062722,7.6789,"1","1","14","6064","4","522"
"11038",45.062722,7.6789,"1","1","14","6064","4","522"
"11039",45.062722,7.6789,"1","1","14","6064","4","522"
"11040",45.062722,7.6789,"1","1","14","6064","4","522"
"11041",45.062722,7.6789,"1","1","14","6064","4","522"
"11042",45.062722,7.6789,"1","1","14","6064","4","522"
"11043",45.062722,7.6789,"1","1","14","6064","4","522"
"11044",45.062722,7.6789,"1","1","14","6064","4","522"
"11045",45.062722,7.6789,"1","1","14","6064","4","522"
"11046",45.062722,7.6789,"1","1","14","6064","4","522"
"11047",45.062722,7.6789,"1","1","14","6064","4","522"
"11048",45.062722,7.6789,"1","1","14","6064","4","522"
"11049",45.062722,7.6789,"1","1","14","6064","4","522"
"11050",45.062722,7.6789,"1","1","14","6064","4","522"
"11051",45.062722,7.6789,"1","1","14","6064","4","522"
"11052",45.062722,7.6789,"1","1","14","6064","4","522"
"11053",45.062722,7.6789,"1","1","14","6064","4","522"
"11054",45.062722,7.6789,"1","1","14","6064","4","522"
"11055",45.062722,7.6789,"1","1","14","6064","4","522"
"11056",45.062722,7.6789,"1","1","14","6064","4","522"
"11057",45.062722,7.6789,"1","1","14","6064","4","522"
"11058",45.062722,7.6789,"1","1","14","6064","4","522"
"11059",45.062722,7.6789,"1","1","14","6064","4","522"
"11060",45.062722,7.6789,"1","1","14","6064","4","522"
"11061",45.062722,7.6789,"1","1","14","6064","4","522"
"11062",45.062722,7.6789,"1","1","14","6064","4","522"
"11063",45.062722,7.6789,"1","1","14","6064","4","522"
"11064",45.062722,7.6789,"1","1","14","6064","4","522"
"11065",45.062722,7.6789,"1","1","14","6064","4","522"
"11066",45.062722,7.6789,"1","1","14","6064","4","522"
"11067",45.062722,7.6789,"1","1","14","6064","4","522"
"11068",45.062722,7.6789,"1","1","14","6064","4","522"
"11069",45.062722,7.6789,"1","1","14","6064","4","522"
"11070",45.062722,7.6789,"1","1","14","6064","4","522"
"11071",45.062722,7.6789,"1","1","14","6064","4","522"
"11072",45.062722,7.6789,"1","1","14","6064","4","522"
"11073",45.062722,7.6789,"1","1","14","6064","4","522"
"11074",45.062722,7.6789,"1","1","14","6064","4","522"
"11075",45.062722,7.6789,"1","1","14","6064","4","522"
"11076",45.062722,7.6789,"1","1","14","6064","4","522"
"11077",45.062722,7.6789,"1","1","14","6064","4","522"
"11078",45.062722,7.679352,"1","1","14","6064","4","522"
"11082",45.062725,7.67173,"1","1","14","6064","4","522"
