lat,lng,ids,predictions,label,CLUSTER_ID
45.06954,7.68792,"2,0769861240118E+018","7 : 0.62550557, 2 : 0.23544157, 7 : 0.03612804",0,16
45.06954,7.68792,"2,07698289864217E+018","7 : 0.4915513, 3 : 0.13434958, 7 : 0.09973755",0,16
45.06954,7.68792,"2,07475456607691E+018","12 : 0.10245554, 12 : 0.09749813, 5 : 0.09563568",0,16
45.06954,7.68792,"2,07415033419805E+018","2 : 0.29145125, 4 : 0.11610844, 2 : 0.04093266",0,16
45.06954,7.68792,"2,07333772667087E+018","2 : 0.20766117, 3 : 0.20661746, 3 : 0.053028338",0,16
45.06954,7.68792,"2,07050311707568E+018","7 : 0.44108576, 7 : 0.10158676, 2 : 0.027019685",0,16
45.06954,7.68792,"2,06817900224328E+018","6 : 0.1781104, 6 : 0.12410274, 14 : 0.1089115",0,16
45.06954,7.68792,"2,06745719632265E+018","2 : 0.6402864, 7 : 0.082902685, 3 : 0.04261901",0,16
45.06954,7.68792,"2,06475496453169E+018","7 : 0.9885793, 2 : 0.0045815725, 3 : 0.0034604506",0,16
45.06954,7.68792,"2,06453713347929E+018","7 : 0.6289295, 7 : 0.22709408, 3 : 0.015740033",0,16
45.06954,7.68792,"2,06190241032807E+018","2 : 0.4814717, 12 : 0.074820794, 7 : 0.05563302",0,16
45.06954,7.68792,"2,06036030690901E+018","7 : 0.9980381, 7 : 0.0008043799, 2 : 8.4976185e-05",0,16
45.06954,7.68792,"2,06031893718006E+018","7 : 0.8560233, 3 : 0.04152375, 2 : 0.010581511",0,16
45.06954,7.68792,"2,05808621324563E+018","7 : 0.4744251, 2 : 0.09695464, 7 : 0.033390686",0,16
45.06954,7.68792,"2,05735471350824E+018","7 : 0.3162605, 2 : 0.113190934, 7 : 0.10751087",0,16
45.06954,7.68792,"2,05592809409267E+018","2 : 0.25752988, 3 : 0.06966609, 2 : 0.04673004",0,16
45.06954,7.68792,"2,05586119935626E+018","7 : 0.9549526, 7 : 0.033699933, 2 : 0.0006123574",0,16
45.06954,7.68792,"2,0553139772793E+018","7 : 0.9949332, 7 : 0.00376118, 7 : 0.00021179278",0,16
45.06954,7.68792,"2,05520422549714E+018","7 : 0.9638391, 2 : 0.010680474, 13 : 0.0035848415",0,16
45.06954,7.68792,"2,05442067094054E+018","7 : 0.9664797, 7 : 0.0054465965, 5 : 0.0015665349",0,16
45.06954,7.68792,"2,05163059196049E+018","7 : 0.9122024, 7 : 0.02796779, 2 : 0.010140822",0,16
45.06954,7.68792,"2,05082996904469E+018","2 : 0.3143448, 2 : 0.15899386, 2 : 0.10373018",0,16
45.06954,7.68792,"2,050150645392E+018","2 : 0.3660602, 3 : 0.13828444, 7 : 0.10315404",0,16
45.06954,7.68792,"2,05004173346031E+018","2 : 0.4319633, 2 : 0.2521907, 7 : 0.06045735",0,16
45.06954,7.68792,"2,04732561767599E+018","7 : 0.5091211, 7 : 0.17092742, 7 : 0.07538989",0,16
45.06954,7.68792,"2,04717756103489E+018","7 : 0.45358166, 3 : 0.14056793, 2 : 0.052250385",0,16
45.06954,7.68792,"2,04711882234061E+018","7 : 0.056165636, 2 : 0.05596417, 2 : 0.05115749",0,16
45.06954,7.68792,"2,04575025521294E+018","7 : 0.14364624, 7 : 0.1348475, 12 : 0.09795112",0,16
